NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:ANGOLA:CUANZA_NORTE:GONGUEMBO,14.9026,-8.9238,4966,1418.8
AFRO:ANGOLA:CUANZA_NORTE:LUCALA,15.2495,-9.1817,21060,1733.8
AFRO:ANGOLA:CUANZA_NORTE:QUICULUNGO,15.3104,-8.5361,6981,370.6
AFRO:ANGOLA:CUANZA_NORTE:SAMBA_CAJU,15.4929,-8.8351,14500,2504.8
AFRO:ANGOLA:CUANZA_SUL:AMBOIM,14.378,-10.8915,201003,1055.5
AFRO:ANGOLA:CUANZA_SUL:CASSONGUE,14.9574,-11.817,136572,4898.5
AFRO:ANGOLA:CUANZA_SUL:CELA,15.304,-11.2824,207024,4621.4
AFRO:ANGOLA:CUANZA_SUL:CONDA,14.4201,-11.1762,91216,1997.8
AFRO:ANGOLA:CUANZA_SUL:EBO,14.7207,-10.958,162894,1854.0
AFRO:ANGOLA:CUANZA_SUL:LIBOLO,14.9634,-10.0639,82044,5929.9
AFRO:ANGOLA:CUANZA_SUL:MUSSENDE,15.9788,-10.2804,72387,11373.1
AFRO:ANGOLA:CUANZA_SUL:PORTO_AMBOIM,13.9138,-10.6226,113492,3697.5
AFRO:ANGOLA:CUANZA_SUL:QUIBALA,15.3034,-10.6929,142022,10368.1
AFRO:ANGOLA:CUANZA_SUL:QUILENDA,14.3377,-10.5327,85058,2062.8
AFRO:ANGOLA:CUANZA_SUL:SELES,14.4812,-11.4638,156939,4025.0
AFRO:ANGOLA:CUANZA_SUL:SUMBE,14.045,-11.5414,254571,4145.5
AFRO:ANGOLA:CUNENE:CAHAMA,14.263,-16.4006,80987,9808.8
AFRO:ANGOLA:CUNENE:CUANHAMA,16.3066,-16.4896,416945,20593.3
AFRO:ANGOLA:CUNENE:CUROCA,13.8015,-16.9182,47072,8163.5
AFRO:ANGOLA:CUNENE:CUVELAI,16.1271,-15.7455,71588,15620.5
AFRO:ANGOLA:CUNENE:NAMACUNDE,16.5994,-17.0768,152954,10880.8
AFRO:ANGOLA:CUNENE:OMBADJA,14.9433,-16.7632,330578,12301.1
AFRO:ANGOLA:HUAMBO:BAILUNDO,15.8406,-11.9507,233990,7185.3
AFRO:ANGOLA:HUAMBO:CAALA,15.5665,-13.2701,199715,3908.5
AFRO:ANGOLA:HUAMBO:CATCHIUNGO,16.3072,-12.7437,93753,2914.0
AFRO:ANGOLA:HUAMBO:ECUNHA,15.4844,-12.5499,64634,1454.8
AFRO:ANGOLA:HUAMBO:HUAMBO,15.7805,-12.8436,516534,2715.7
AFRO:ANGOLA:HUAMBO:LONDUIMBALE,15.2764,-12.2363,105822,2778.6
AFRO:ANGOLA:HUAMBO:LONGONJO,15.216,-13.0937,70255,2451.2
AFRO:ANGOLA:HUAMBO:MUNGO,16.2135,-11.7709,88135,2991.0
AFRO:ANGOLA:HUAMBO:TCHIKALA_TCHOLOHANGA,16.0791,-12.9625,95474,4354.9
AFRO:ANGOLA:HUAMBO:TCHINJENJE,14.9276,-12.8316,24722,1033.4
AFRO:ANGOLA:HUAMBO:UKUMA,15.145,-12.7611,35261,1693.0
AFRO:ANGOLA:HUILA:CACONDA,15.1512,-13.7659,191136,4630.0
AFRO:ANGOLA:HUILA:CACULA,14.2853,-14.4409,157404,3895.1
AFRO:ANGOLA:HUILA:CALUQUEMBE,14.544,-13.946,209602,2969.7
AFRO:ANGOLA:HUILA:CHIBIA,13.8506,-15.236,214494,5163.6
AFRO:ANGOLA:HUILA:CHICOMBA,15.0128,-14.3026,157815,4224.8
AFRO:ANGOLA:HUILA:CHIPINDO,15.7161,-13.894,81102,4052.5
AFRO:ANGOLA:HUILA:CUVANGO,16.3053,-14.2255,102514,9662.6
AFRO:ANGOLA:HUILA:GAMBOS,14.0547,-15.8261,94913,8122.3
AFRO:ANGOLA:HUILA:HUMPATA,13.3581,-15.1028,79590,1236.6
AFRO:ANGOLA:HUILA:JAMBA,15.8146,-14.8186,119270,11264.8
AFRO:ANGOLA:HUILA:LUBANGO,13.728,-14.8052,925492,3158.5
AFRO:ANGOLA:HUILA:MATALA,15.1509,-15.2647,300292,9121.0
AFRO:ANGOLA:HUILA:QUILENGUES,13.9204,-14.1258,89533,4026.3
AFRO:ANGOLA:HUILA:QUIPUNGO,14.5689,-15.1111,172265,7599.0
AFRO:ANGOLA:LUANDA:BELAS,13.1778,-8.911,180039,24.7
AFRO:ANGOLA:LUANDA:CACUACO,13.4515,-8.8247,1696323,317.2
AFRO:ANGOLA:LUANDA:CAZENGA,13.2982,-8.8242,1840345,31.2
AFRO:ANGOLA:LUANDA:ICOLO_E_BENGO,13.8447,-9.1751,167479,3042.8
AFRO:ANGOLA:LUANDA:INGOMBOTA,13.2424,-8.8004,190342,7.4
AFRO:ANGOLA:LUANDA:KILAMBA_KIAXI,13.2705,-8.8734,1476008,42.8
AFRO:ANGOLA:LUANDA:MAIANGA,13.2232,-8.8593,964607,25.1
AFRO:ANGOLA:LUANDA:NEVES_BENDINHA,13.1524,-9.1151,1217515,940.7
AFRO:ANGOLA:LUANDA:NGOLA_QUILUANGE,13.2547,-8.9413,1292840,108.2
AFRO:ANGOLA:LUANDA:QUISSAMA,13.8297,-9.8246,60350,13645.7
AFRO:ANGOLA:LUANDA:RANGEL,13.2624,-8.8273,314055,6.0
AFRO:ANGOLA:LUANDA:SAMBA,13.1936,-8.8809,191915,11.6
AFRO:ANGOLA:LUANDA:SAMBIZANGA,13.2772,-8.7989,553013,11.8
AFRO:ANGOLA:LUANDA:TALATONA,13.2709,-8.9998,151919,37.5
AFRO:ANGOLA:LUANDA:VIANA,13.3996,-9.0053,3717679,692.9
AFRO:ANGOLA:LUNDA_NORTE:CAMBULO,21.4745,-7.9131,121167,10419.6
AFRO:ANGOLA:LUNDA_NORTE:CAPENDA_CAMULEMBA,18.7894,-9.6036,40525,6522.1
AFRO:ANGOLA:LUNDA_NORTE:CAUNGULA,18.8027,-8.3509,27377,10754.3
AFRO:ANGOLA:LUNDA_NORTE:CHITATO,20.8445,-7.5806,131718,4521.1
AFRO:ANGOLA:LUNDA_NORTE:CUANGO,18.043,-8.5892,174832,6959.8
AFRO:ANGOLA:LUNDA_NORTE:CUILO,19.6601,-8.169,19636,10558.3
AFRO:ANGOLA:LUNDA_NORTE:LOVUA,20.1305,-7.3142,57478,7665.1
AFRO:ANGOLA:LUNDA_NORTE:LUBALO,19.1991,-9.1708,19838,11620.1
AFRO:ANGOLA:LUNDA_NORTE:LUCAPA,20.3921,-8.5399,139333,19178.2
AFRO:ANGOLA:LUNDA_NORTE:XA_MUTEBA,17.8357,-9.3032,41475,10844.4
AFRO:ANGOLA:LUNDA_SUL:CACOLO,19.1335,-10.5443,39135,15492.3
AFRO:ANGOLA:LUNDA_SUL:DALA,20.3459,-10.9344,25090,14144.7
AFRO:ANGOLA:LUNDA_SUL:MUCONDA,21.407,-10.1669,34352,27861.2
AFRO:ANGOLA:LUNDA_SUL:SAURIMO,20.6325,-9.5108,378812,24766.6
AFRO:ANGOLA:MALANJE:CACULAMA_MUCARI,16.8897,-9.4769,29828,2136.3
AFRO:ANGOLA:MALANJE:CACUSO,15.6392,-9.51,66630,6105.4
AFRO:ANGOLA:MALANJE:CAHOMBO,16.6427,-8.6611,18796,5318.1
AFRO:ANGOLA:MALANJE:CALANDULA,15.9947,-8.7109,77687,7370.1
AFRO:ANGOLA:MALANJE:CAMBUNDI_CATEMBO,17.8194,-10.1469,48975,13322.7
AFRO:ANGOLA:MALANJE:CANGANDALA,16.6586,-9.9533,43604,5800.0
AFRO:ANGOLA:MALANJE:CUNDA_DIA_BAZE,17.3125,-8.6951,12347,3478.9
AFRO:ANGOLA:MALANJE:KIUABA_NZOJI,16.4564,-9.0526,13445,3033.4
AFRO:ANGOLA:MALANJE:LUQUEMBO,17.3623,-10.792,44287,10466.5
AFRO:ANGOLA:MALANJE:MALANJE,16.3463,-9.4766,409558,2218.8
AFRO:ANGOLA:MALANJE:MARIMBA,17.1082,-8.1878,23277,5892.1
AFRO:ANGOLA:MALANJE:MASSANGO,16.5846,-7.7922,27879,7998.1
AFRO:ANGOLA:MALANJE:QUELA,17.2746,-9.3285,18458,4239.9
AFRO:ANGOLA:MALANJE:QUIRIMA,18.2662,-11.0763,19674,9684.7
AFRO:ANGOLA:MOXICO:ALTO_ZAMBEZE,22.8786,-12.2184,152852,47954.3
AFRO:ANGOLA:MOXICO:CAMANONGUE,20.2143,-11.4077,51192,2790.9
AFRO:ANGOLA:MOXICO:LEUA,20.5626,-11.7471,46349,2871.2
AFRO:ANGOLA:MOXICO:LUACANO,22.0368,-11.6588,30961,13424.1
AFRO:ANGOLA:MOXICO:LUAU,21.9945,-10.918,120722,3863.1
AFRO:ANGOLA:MOXICO:LUCHAZES,19.5054,-13.7298,25093,43300.7
AFRO:ANGOLA:MOXICO:LUMBALA_NGUIMBO_BUNDAS,21.3127,-14.2317,97718,41167.0
AFRO:ANGOLA:MOXICO:LUMEJE_CAMEIA,21.2394,-11.8371,39873,7360.3
AFRO:ANGOLA:MOXICO:MOXICO_LUENA,19.7552,-12.317,511907,39024.6
AFRO:ANGOLA:NAMIBE:BIBALA,13.1335,-14.6985,63345,7703.5
AFRO:ANGOLA:NAMIBE:CAMUCUIO,13.0359,-14.0331,55423,7409.6
AFRO:ANGOLA:NAMIBE:NAMIBE,12.4533,-14.7178,348615,9188.3
AFRO:ANGOLA:NAMIBE:TOMBUA,12.3604,-16.5666,64612,17999.8
AFRO:ANGOLA:NAMIBE:VIREI,12.9296,-15.8263,34678,15199.8
AFRO:ANGOLA:UIGE:AMBUILA,14.4711,-7.6257,11908,4867.0
AFRO:ANGOLA:UIGE:BEMBE,14.2799,-7.0722,21838,5850.7
AFRO:ANGOLA:UIGE:BUENGAS,15.8519,-6.6574,30448,2689.9
AFRO:ANGOLA:UIGE:BUNGO,15.442,-7.4286,35531,2346.6
AFRO:ANGOLA:UIGE:CANGOLA,15.935,-7.8781,26192,2766.3
AFRO:ANGOLA:UIGE:DAMBA,15.2355,-6.7587,41963,7403.6
AFRO:ANGOLA:UIGE:MAQUELA_DO_ZOMBO,15.4955,-6.1245,71584,7557.9
AFRO:ANGOLA:UIGE:MILUNGA,16.5965,-7.0771,29042,6096.1
AFRO:ANGOLA:UIGE:MUCABA,15.0882,-7.1827,20038,960.7
AFRO:ANGOLA:UIGE:NEGAGE,15.3661,-7.863,73458,2044.6
AFRO:ANGOLA:UIGE:PURI,15.677,-7.6726,22769,1252.1
AFRO:ANGOLA:UIGE:QUIMBELE,16.3587,-6.3551,75038,7161.9
