NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:EASTERN:NEW_JUABEN_SOUTH_MUNICIPAL,-0.2612,6.0780,127546,54.6
AFRO:GHANA:EASTERN:NSAWAM_ADOAGYIRI,-0.3470,5.8276,63014,175.8
AFRO:GHANA:EASTERN:OKERE,-0.1264,6.0535,77478,308.0
AFRO:GHANA:EASTERN:SUHUM_MUNICIPAL,-0.4000,6.0449,78838,360.4
AFRO:GHANA:EASTERN:UPPER_MANYA,-0.1341,6.3885,73024,863.0
AFRO:GHANA:EASTERN:UPPER_WEST_AKIM,-0.5597,5.8013,108970,343.9
AFRO:GHANA:EASTERN:WEST_AKIM,-0.6924,5.9178,128554,477.6
AFRO:GHANA:EASTERN:YILO_KROBO,-0.1602,6.1731,83068,485.5
AFRO:GHANA:GREATER_ACCRA:ABLEKUMA_CENTRAL_MUNICIPAL,-0.2392,5.5537,265094,14.2
AFRO:GHANA:GREATER_ACCRA:ABLEKUMA_NORTH_MUNICIPAL,-0.2483,5.5813,499453,29.6
AFRO:GHANA:GREATER_ACCRA:ABLEKUMA_WEST_MUNICIPAL,-0.2542,5.5349,176863,12.7
AFRO:GHANA:GREATER_ACCRA:ACCRA_METROPOLIS,-0.2118,5.5463,102738,5.6
AFRO:GHANA:GREATER_ACCRA:ADA_EAST,0.5555,5.8502,92942,290.9
AFRO:GHANA:GREATER_ACCRA:ADA_WEST,0.4196,5.8894,81109,325.0
AFRO:GHANA:GREATER_ACCRA:ADENTA_MUNICIPAL,-0.1306,5.6978,99048,78.4
AFRO:GHANA:GREATER_ACCRA:ASHAIMAN_MUNICIPAL,-0.0344,5.7012,104920,18.6
AFRO:GHANA:GREATER_ACCRA:AYAWASO_CENTRAL_MUNICIPAL,-0.2040,5.5796,34027,1.5
AFRO:GHANA:GREATER_ACCRA:AYAWASO_EAST_MUNICIPAL,-0.1917,5.5910,102048,6.3
AFRO:GHANA:GREATER_ACCRA:AYAWASO_NORTH_MUNICIPAL,-0.2068,5.5992,85793,4.9
AFRO:GHANA:GREATER_ACCRA:AYAWASO_WEST,-0.1739,5.6332,344699,32.9
AFRO:GHANA:GREATER_ACCRA:GA_CENTRAL_MUNICIPAL,-0.3081,5.6167,119915,49.3
AFRO:GHANA:GREATER_ACCRA:GA_EAST,-0.2207,5.6989,218122,86.2
AFRO:GHANA:GREATER_ACCRA:GA_NORTH_MUNICIPAL,-0.2808,5.7313,193539,125.2
AFRO:GHANA:GREATER_ACCRA:GA_SOUTH_MUNICIPAL,-0.4362,5.6758,78133,178.9
AFRO:GHANA:GREATER_ACCRA:GA_WEST_MUNICIPAL,-0.3691,5.7141,163481,175.7
AFRO:GHANA:GREATER_ACCRA:KORLE_KLOTTEY_MUNICIPAL,-0.1944,5.5606,176850,9.8
AFRO:GHANA:GREATER_ACCRA:KPONE_KATAMANSO,-0.0587,5.7571,262667,241.1
AFRO:GHANA:GREATER_ACCRA:KROWOR_MUNICIPAL,-0.0867,5.6126,124872,18.2
AFRO:GHANA:GREATER_ACCRA:LA_DADE_KOTOPON,-0.1595,5.5869,437220,36.3
AFRO:GHANA:GREATER_ACCRA:LA_NKWANTANANG_MADINA,-0.1666,5.7482,141502,71.3
AFRO:GHANA:GREATER_ACCRA:LEDZOKUKU_MUNICIPAL,-0.1171,5.6023,204022,29.2
AFRO:GHANA:GREATER_ACCRA:NINGO_PRAMPRAM,0.1726,5.8113,92685,625.0
AFRO:GHANA:GREATER_ACCRA:OKAIKWEI_NORTH_MUNICIPAL,-0.2212,5.6240,238827,22.6
AFRO:GHANA:GREATER_ACCRA:SHAI_OSUDOKU,0.1325,5.9633,57656,973.4
AFRO:GHANA:GREATER_ACCRA:TEMA_METROPOLITAN,-0.0111,5.6484,169479,42.7
AFRO:GHANA:GREATER_ACCRA:TEMA_WEST_MUNICIPAL,-0.0653,5.6516,171727,45.5
AFRO:GHANA:GREATER_ACCRA:WEIJA_GBAWE_MUNICIPAL,-0.3509,5.5493,455231,164.6
AFRO:GHANA:NORTHERN:GUSHEGU,-0.1796,9.9217,130657,2685.2
AFRO:GHANA:NORTHERN:KARAGA,-0.4788,9.9837,134464,3133.6
