NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0003,-1.7538,6.2659,25495,104.9
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0004,-1.8486,6.2903,6955,92.6
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0005,-1.8444,6.0711,3078,88.4
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0006,-1.7376,6.3390,7288,98.8
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0007,-1.8421,6.2118,14431,104.0
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0008,-1.8913,6.1445,9017,96.5
AFRO:GHANA:ASHANTI:AMANSIE_SOUTH:A0000,-2.0013,6.3868,7352,111.3
AFRO:GHANA:ASHANTI:AMANSIE_SOUTH:A0001,-1.9865,6.1675,18159,96.1
AFRO:GHANA:ASHANTI:AMANSIE_SOUTH:A0002,-2.1023,6.3604,8932,63.1
AFRO:GHANA:ASHANTI:AMANSIE_SOUTH:A0003,-2.0014,6.3068,6400,113.4
AFRO:GHANA:ASHANTI:AMANSIE_SOUTH:A0004,-1.9827,6.4692,22894,103.2
AFRO:GHANA:ASHANTI:AMANSIE_SOUTH:A0005,-1.9390,6.2410,8011,108.8
AFRO:GHANA:ASHANTI:AMANSIE_WEST:A0000,-1.8340,6.5183,12384,105.9
AFRO:GHANA:ASHANTI:AMANSIE_WEST:A0001,-1.9039,6.3550,14125,113.9
AFRO:GHANA:ASHANTI:AMANSIE_WEST:A0002,-1.9048,6.4464,11773,87.5
AFRO:GHANA:ASHANTI:AMANSIE_WEST:A0003,-1.8128,6.4033,9474,98.3
AFRO:GHANA:ASHANTI:AMANSIE_WEST:A0004,-1.9217,6.5376,22394,106.1
AFRO:GHANA:ASHANTI:AMANSIE_WEST:A0005,-1.7363,6.5071,18547,129.1
AFRO:GHANA:ASHANTI:ASANTE_AKIM_CENTRAL_MUNICIPAL:A0000,-1.2431,6.5935,20219,97.8
AFRO:GHANA:ASHANTI:ASANTE_AKIM_CENTRAL_MUNICIPAL:A0001,-1.1977,6.6671,10937,92.4
AFRO:GHANA:ASHANTI:ASANTE_AKIM_CENTRAL_MUNICIPAL:A0002,-1.2553,6.4844,22667,111.3
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0000,-0.8700,6.9343,13516,94.3
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0001,-1.1461,6.7339,6863,88.4
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0002,-1.0434,6.8573,3472,96.9
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0003,-0.8255,6.8407,8379,94.9
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0004,-0.9468,6.9926,5864,96.5
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0005,-0.9396,6.8077,6505,115.8
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0006,-1.0177,6.9524,6324,100.4
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0007,-0.9889,6.7148,10150,114.0
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0008,-1.0596,6.7724,18133,107.9
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0009,-1.2171,6.7797,4257,77.9
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH:A0010,-0.9422,6.8922,7063,143.9
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0000,-1.1408,6.3678,10922,86.0
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0001,-1.0576,6.6743,10360,112.3
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0002,-1.1030,6.5175,11792,85.7
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0003,-1.0259,6.5473,8511,85.6
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0004,-1.2448,6.3922,12076,102.8
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0005,-1.1147,6.6106,18461,105.3
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0006,-1.1652,6.2496,6777,96.0
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0007,-1.0606,6.4428,11470,98.0
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0008,-0.9705,6.6008,12783,107.0
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0009,-1.2124,6.3179,9970,85.2
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0010,-1.1818,6.5410,7913,98.0
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH:A0011,-1.1686,6.4498,12455,96.8
AFRO:GHANA:ASHANTI:ASOKORE_MAMPONG_MUNICIPAL:A0000,-1.5729,6.7115,276258,23.9
